"TTC1","Exodus 20:3","You shall have no other gods before me."
"TC15","John 19:15","But they shouted, &ldquo;Take him away! Take him away! Crucify him!&rdquo; &ldquo;Shall I crucify your king?&rdquo; Pilate asked.  &ldquo;We have no king but Caesar,&rdquo; the chief priests answered."
"TC16","John 19:16","Finally Pilate handed him over to them to be crucified.  So the soldiers took charge of Jesus."
"TC17","John 19:17","Carrying his own cross, he went out to the place of the Skull (which in Aramaic is called Golgotha)."
"TC18","John 19:18","There they crucified him, and with him two others&mdash;one on each side and Jesus in the middle."
"TC19","John 19:19","Pilate had a notice prepared and fastened to the cross. It read: jesus of nazareth, the king of the jews."
"TC20","John 19:20","Many of the Jews read this sign, for the place where Jesus was crucified was near the city, and the sign was written in Aramaic, Latin and Greek."
"TC21","John 19:21","The chief priests of the Jews protested to Pilate, &ldquo;Do not write &lsquo;The King of the Jews,&rsquo; but that this man claimed to be king of the Jews.&rdquo;"
"TC22","John 19:22","Pilate answered, &ldquo;What I have written, I have written.&rdquo;"
"TC23","John 19:23","When the soldiers crucified Jesus, they took his clothes, dividing them into four shares, one for each of them, with the undergarment remaining. This garment was seamless, woven in one piece from top to bottom."
"TC24","John 19:24","&ldquo;Let&rsquo;s not tear it,&rdquo; they said to one another. &ldquo;Let&rsquo;s decide by lot who will get it.&rdquo; This happened that the scripture might be fulfilled that said, &ldquo;They divided my clothes among them and cast lots for my garment.&rdquo; So this is what the soldiers did."
"TC25","John 19:25","Near the cross of Jesus stood his mother, his mother&rsquo;s sister, Mary the wife of Clopas, and Mary Magdalene."
"TC26","John 19:26","When Jesus saw his mother there, and the disciple whom he loved standing nearby, he said to her, &ldquo;Woman, here is your son,&rdquo;"
"TC27","John 19:27","and to the disciple, &ldquo;Here is your mother.&rdquo; From that time on, this disciple took her into his home."
"TC28","John 19:28","Later, knowing that everything had now been finished, and so that Scripture would be fulfilled, Jesus said, &ldquo;I am thirsty.&rdquo;"
"TC29","John 19:29","A jar of wine vinegar was there, so they soaked a sponge in it, put the sponge on a stalk of the hyssop plant, and lifted it to Jesus&rsquo; lips."
"TC30","John 19:30","When he had received the drink, Jesus said, &ldquo;It is finished.&rdquo; With that, he bowed his head and gave up his spirit."
"TC31","John 19:31","Now it was the day of Preparation, and the next day was to be a special Sabbath. Because the Jewish leaders did not want the bodies left on the crosses during the Sabbath, they asked Pilate to have the legs broken and the bodies taken down."
"TC32","John 19:32","The soldiers therefore came and broke the legs of the first man who had been crucified with Jesus, and then those of the other."
"TC33","John 19:33","But when they came to Jesus and found that he was already dead, they did not break his legs."
"TC34","John 19:34","Instead, one of the soldiers pierced Jesus&rsquo; side with a spear, bringing a sudden flow of blood and water."
"TC35","John 19:35","The man who saw it has given testimony, and his testimony is true. He knows that he tells the truth, and he testifies so that you also may believe."
"TC36","John 19:36","These things happened so that the scripture would be fulfilled: &ldquo;Not one of his bones will be broken,&rdquo;"
"TC37","John 19:37","and, as another scripture says, &ldquo;They will look on the one they have pierced.&rdquo;"
"TC38","John 19:38","Later, Joseph of Arimathea asked Pilate for the body of Jesus. Now Joseph was a disciple of Jesus, but secretly because he feared the Jewish leaders. With Pilate&rsquo;s permission, he came and took the body away."
"TC39","John 19:39","He was accompanied by Nicodemus, the man who earlier had visited Jesus at night. Nicodemus brought a mixture of myrrh and aloes, about seventy-five pounds."
"TC40","John 19:40","Taking Jesus&rsquo; body, the two of them wrapped it, with the spices, in strips of linen. This was in accordance with Jewish burial customs."
"TC41","John 19:41","At the place where Jesus was crucified, there was a garden, and in the garden a new tomb, in which no one had ever been laid."
"TC42","John 19:42","Because it was the Jewish day of Preparation and since the tomb was nearby, they laid Jesus there."
"TFC1","Hebrews 11:1","Now faith is confidence in what we hope for and assurance about what we do not see."
"TFC2","Hebrews 11:2","This is what the ancients were commended for."
"TFC3","Hebrews 11:3","By faith we understand that the universe was formed at God&rsquo;s command, so that what is seen was not made out of what was visible."
"TFC4","Hebrews 11:4","By faith Abel brought God a better offering than Cain did. By faith he was commended as righteous, when God spoke well of his offerings. And by faith Abel still speaks, even though he is dead."
"TFC5","Hebrews 11:5","By faith Enoch was taken from this life, so that he did not experience death: &ldquo;He could not be found, because God had taken him away.&rdquo; For before he was taken, he was commended as one who pleased God."
"TFC6","Hebrews 11:6","And without faith it is impossible to please God, because anyone who comes to him must believe that he exists and that he rewards those who earnestly seek him."
"TFC7","Hebrews 11:7","By faith Noah, when warned about things not yet seen, in holy fear built an ark to save his family. By his faith he condemned the world and became heir of the righteousness that is in keeping with faith."
"TFC8","Hebrews 11:8","By faith Abraham, when called to go to a place he would later receive as his inheritance, obeyed and went, even though he did not know where he was going."
"TFC9","Hebrews 11:9","By faith he made his home in the promised land like a stranger in a foreign country; he lived in tents, as did Isaac and Jacob, who were heirs with him of the same promise."
"TFC10","Hebrews 11:10","For he was looking forward to the city with foundations, whose architect and builder is God."
"TFC11","Hebrews 11:11","And by faith even Sarah, who was past childbearing age, was enabled to bear children because she considered him faithful who had made the promise."
"TFC12","Hebrews 11:12","And so from this one man, and he as good as dead, came descendants as numerous as the stars in the sky and as countless as the sand on the seashore."
"TFC13","Hebrews 11:13","All these people were still living by faith when they died. They did not receive the things promised; they only saw them and welcomed them from a distance, admitting that they were foreigners and strangers on earth."
"TFC14","Hebrews 11:14","People who say such things show that they are looking for a country of their own."
"TFC15","Hebrews 11:15","If they had been thinking of the country they had left, they would have had opportunity to return."
"TFC16","Hebrews 11:16","Instead, they were longing for a better country&mdash;a heavenly one. Therefore God is not ashamed to be called their God, for he has prepared a city for them."
"TFC17","Hebrews 11:17","By faith Abraham, when God tested him, offered Isaac as a sacrifice. He who had embraced the promises was about to sacrifice his one and only son,"
"TFC18","Hebrews 11:18","even though God had said to him, &ldquo;It is through Isaac that your offspring will be reckoned.&rdquo;"
"TFC19","Hebrews 11:19","Abraham reasoned that God could even raise the dead, and so in a manner of speaking he did receive Isaac back from death."
"TFC20","Hebrews 11:20","By faith Isaac blessed Jacob and Esau in regard to their future."
"TFC21","Hebrews 11:21","By faith Jacob, when he was dying, blessed each of Joseph&rsquo;s sons, and worshiped as he leaned on the top of his staff."
"TFC22","Hebrews 11:22","By faith Joseph, when his end was near, spoke about the exodus of the Israelites from Egypt and gave instructions concerning the burial of his bones."
"TFC23","Hebrews 11:23","By faith Moses&rsquo; parents hid him for three months after he was born, because they saw he was no ordinary child, and they were not afraid of the king&rsquo;s edict."
"TFC24","Hebrews 11:24","By faith Moses, when he had grown up, refused to be known as the son of Pharaoh&rsquo;s daughter."
"TFC25","Hebrews 11:25","He chose to be mistreated along with the people of God rather than to enjoy the fleeting pleasures of sin."
"TFC26","Hebrews 11:26","He regarded disgrace for the sake of Christ as of greater value than the treasures of Egypt, because he was looking ahead to his reward."
"TFC27","Hebrews 11:27","By faith he left Egypt, not fearing the king&rsquo;s anger; he persevered because he saw him who is invisible."
"TFC28","Hebrews 11:28","By faith he kept the Passover and the application of blood, so that the destroyer of the firstborn would not touch the firstborn of Israel."
"TFC29","Hebrews 11:29","By faith the people passed through the Red Sea as on dry land; but when the Egyptians tried to do so, they were drowned."
"TFC30","Hebrews 11:30","By faith the walls of Jericho fell, after the army had marched around them for seven days."
"TFC31","Hebrews 11:31","By faith the prostitute Rahab, because she welcomed the spies, was not killed with those who were disobedient."
"TFC32","Hebrews 11:32","And what more shall I say? I do not have time to tell about Gideon, Barak, Samson and Jephthah, about David and Samuel and the prophets,"
"TFC33","Hebrews 11:33","who through faith conquered kingdoms, administered justice, and gained what was promised; who shut the mouths of lions,"
"TFC34","Hebrews 11:34","quenched the fury of the flames, and escaped the edge of the sword; whose weakness was turned to strength; and who became powerful in battle and routed foreign armies."
"TFC35","Hebrews 11:35","Women received back their dead, raised to life again. There were others who were tortured, refusing to be released so that they might gain an even better resurrection."
"TFC36","Hebrews 11:36","Some faced jeers and flogging, and even chains and imprisonment."
"TFC37","Hebrews 11:37","They were put to death by stoning; they were sawed in two; they were killed by the sword. They went about in sheepskins and goatskins, destitute, persecuted and mistreated&mdash;"
"TFC38","Hebrews 11:38","the world was not worthy of them. They wandered in deserts and mountains, living in caves and in holes in the ground."
"TFC39","Hebrews 11:39","These were all commended for their faith, yet none of them received what had been promised,"
"TFC40","Hebrews 11:40","since God had planned something better for us so that only together with us would they be made perfect."
