"TBOJ1","Matthew 3:13","Then Jesus came from Galilee to the Jordan to John, to be baptized by him. "
"TBOJ2","Matthew 3:14","John would have prevented him, saying, &quot;I need to be baptized by you, and do you come to me?&quot; "
"TBOJ3","Matthew 3:15","But Jesus answered him, &quot;Let it be so now, for thus it is fitting for us to fulfill all righteousness.&quot; Then he consented. "
"TBOJ4","Matthew 3:16","And when Jesus was baptized, immediately he went up from the water, and behold, the heavens were opened to him, and he saw the Spirit of God descending like a dove and coming to rest on him; "
"TBOJ5","Matthew 3:17","and behold, a voice from heaven said, &quot;This is my beloved Son, with whom I am well pleased.&quot;"
"TMP1","Matthew 6:5","&quot;And when you pray, you must not be like the hypocrites. For they love to stand and pray in the synagogues and at the street corners, that they may be seen by others. Truly, I say to you, they have received their reward. "
"TMP2","Matthew 6:6","But when you pray, go into your room and shut the door and pray to your Father who is in secret. And your Father who sees in secret will reward you. "
"TMP3","Matthew 6:7","&quot;And when you pray, do not heap up empty phrases as the Gentiles do, for they think that they will be heard for their many words. "
"TMP4","Matthew 6:8","Do not be like them, for your Father knows what you need before you ask him. "
"TMP5","Matthew 6:9","Pray then like this: &quot;Our Father in heaven, hallowed be your name. "
"TMP6","Matthew 6:10","Your kingdom come, your will be done, on earth as it is in heaven. "
"TMP7","Matthew 6:11","Give us this day our daily bread, "
"TMP8","Matthew 6:12","and forgive us our debts, as we also have forgiven our debtors. "
"TMP9","Matthew 6:13","And lead us not into temptation, but deliver us from evil. "
"TMP10","Matthew 6:14","For if you forgive others their trespasses, your heavenly Father will also forgive you, "
"TMP11","Matthew 6:15","but if you do not forgive others their trespasses, neither will your Father forgive your trespasses."
"TGC1","Mark 12:28","And one of the scribes came up and heard them disputing with one another, and seeing that he answered them well, asked him, &quot;Which commandment is the most important of all?&quot; "
"TGC2","Mark 12:29","Jesus answered, &quot;The most important is, 'Hear, O Israel: The Lord our God, the Lord is one. "
"TGC3","Mark 12:30","And you shall love the Lord your God with all your heart and with all your soul and with all your mind and with all your strength.' "
"TGC4","Mark 12:31","The second is this: 'You shall love your neighbor as yourself.' There is no other commandment greater than these.&quot; "
"TGC5","Mark 12:32","And the scribe said to him, &quot;You are right, Teacher. You have truly said that he is one, and there is no other besides him. "
"TGC6","Mark 12:33","And to love him with all the heart and with all the understanding and with all the strength, and to love one's neighbor as oneself, is much more than all whole burnt offerings and sacrifices.&quot; "
"TGC7","Mark 12:34","And when Jesus saw that he answered wisely, he said to him, &quot;You are not far from the kingdom of God.&quot; And after that no one dared to ask him any more questions."
"BOJ1","Luke 2:1","In those days a decree went out from Caesar Augustus that all the world should be registered. "
"BOJ2","Luke 2:2","This was the first registration when Quirinius was governor of Syria. "
"BOJ3","Luke 2:3","And all went to be registered, each to his own town. "
"BOJ4","Luke 2:4","And Joseph also went up from Galilee, from the town of Nazareth, to Judea, to the city of David, which is called Bethlehem, because he was of the house and lineage of David, "
"BOJ5","Luke 2:5","to be registered with Mary, his betrothed, who was with child. "
"BOJ6","Luke 2:6","And while they were there, the time came for her to give birth. "
"BOJ7","Luke 2:7","And she gave birth to her firstborn son and wrapped him in swaddling cloths and laid him in a manger, because there was no place for them in the inn."
"TPOTPS1","Luke 15:11","And he said, &quot;There was a man who had two sons. "
"TPOTPS2","Luke 15:12","And the younger of them said to his father, 'Father, give me the share of property that is coming to me.' And he divided his property between them. "
"TPOTPS3","Luke 15:13","Not many days later, the younger son gathered all he had and took a journey into a far country, and there he squandered his property in reckless living. "
"TPOTPS4","Luke 15:14","And when he had spent everything, a severe famine arose in that country, and he began to be in need. "
"TPOTPS5","Luke 15:15","So he went and hired himself out to one of the citizens of that country, who sent him into his fields to feed pigs. "
"TPOTPS6","Luke 15:16","And he was longing to be fed with the pods that the pigs ate, and no one gave him anything. "
"TPOTPS7","Luke 15:17","&quot;But when he came to himself, he said, 'How many of my father's hired servants have more than enough bread, but I perish here with hunger! "
"TPOTPS8","Luke 15:18","I will arise and go to my father, and I will say to him, &quot;Father, I have sinned against heaven and before you. "
"TPOTPS9","Luke 15:19","I am no longer worthy to be called your son. Treat me as one of your hired servants.&quot;' "
"TPOTPS10","Luke 15:20","And he arose and came to his father. But while he was still a long way off, his father saw him and felt compassion, and ran and embraced him and kissed him. "
"TPOTPS11","Luke 15:21","And the son said to him, 'Father, I have sinned against heaven and before you. I am no longer worthy to be called your son.' "
"TPOTPS12","Luke 15:22","But the father said to his servants,'Bring quickly the best robe, and put it on him, and put a ring on his hand, and shoes on his feet. "
"TPOTPS13","Luke 15:23","And bring the fattened calf and kill it, and let us eat and celebrate. "
"TPOTPS14","Luke 15:24","For this my son was dead, and is alive again; he was lost, and is found.' And they began to celebrate. "
"TPOTPS15","Luke 15:25","&quot;Now his older son was in the field, and as he came and drew near to the house, he heard music and dancing. "
"TPOTPS16","Luke 15:26","And he called one of the servants and asked what these things meant. "
