"TPOTGS3","Luke 10:27","And he answering said, Thou shalt love the Lord thy God with all thy heart, and with all thy soul, and with all thy strength, and with all thy mind; and thy neighbour as thyself."
"TPOTGS4","Luke 10:28","And he answering said, Thou shalt love the Lord thy God with all thy heart, and with all thy soul, and with all thy strength, and with all thy mind; and thy neighbour as thyself."
"TPOTGS5","Luke 10:29","But he, willing to justify himself, said unto Jesus, And who is my neighbour?"
"TPOTGS6","Luke 10:30","And Jesus answering said, A certain [man] went down from Jerusalem to Jericho, and fell among thieves, which stripped him of his raiment, and wounded [him,] and departed, leaving [him] half dead."
"TPOTGS7","Luke 10:31","And by chance there came down a certain priest that way: and when he saw him, he passed by on the other side."
"TPOTGS8","Luke 10:32","And likewise a Levite, when he was at the place, came and looked [on him,] and passed by on the other side."
"TPOTGS9","Luke 10:33","But a certain Samaritan, as he journeyed, came where he was: and when he saw him, he had compassion [on him, ]"
"TPOTGS10","Luke 10:34","And went to [him,] and bound up his wounds, pouring in oil and wine, and set him on his own beast, and brought him to an inn, and took care of him."
"TPOTGS11","Luke 10:35","And on the morrow when he departed, he took out two pence, and gave [them] to the host, and said unto him, Take care of him; and whatsoever thou spendest more, when I come again, I will repay thee."
"TPOTGS12","Luke 10:36","Which now of these three, thinkest thou, was neighbour unto him that fell among the thieves?"
"TPOTGS13","Luke 10:37","And he said, He that shewed mercy on him. Then said Jesus unto him, Go, and do thou likewise."
"JFM1","John 2:1","And the third day there was a marriage in Cana of Galilee; and the mother of Jesus was there:"
"JFM2","John 2:2","And both Jesus was called, and his disciples, to the marriage."
"JFM3","John 2:3","And when they wanted wine, the mother of Jesus saith unto him, They have no wine."
"JFM4","John 2:4","Jesus saith unto her, Woman, what have I to do with thee? mine hour is not yet come."
"JFM5","John 2:5","His mother saith unto the servants, Whatsoever he saith unto you, do [it. ]"
"JFM6","John 2:6","And there were set there six waterpots of stone, after the manner of the purifying of the Jews, containing two or three firkins apiece."
"JFM7","John 2:7","And there were set there six waterpots of stone, after the manner of the purifying of the Jews, containing two or three firkins apiece."
"JFM8","John 2:8","And he saith unto them, Draw out now, and bear unto the governor of the feast. And they bare [it. ]"
"JFM9","John 2:9","When the ruler of the feast had tasted the water that was made wine, and knew not whence it was: (but the servants which drew the water knew;) the governor of the feast called the bridegroom,"
"JFM10","John 2:10","And saith unto him, Every man at the beginning doth set forth good wine; and when men have well drunk, then that which is worse: [but] thou hast kept the good wine until now."
