"TBOJ3","Matthew 3:15","Jesus replied, &ldquo;Let it be so now; it is proper for us to do this to fulfill all righteousness.&rdquo; Then John consented."
"TBOJ4","Matthew 3:16","As soon as Jesus was baptized, he went up out of the water. At that moment heaven was opened, and he saw the Spirit of God descending like a dove and alighting on him."
"TBOJ5","Matthew 3:17","And a voice from heaven said, &ldquo;This is my Son, whom I love; with him I am well pleased.&rdquo;"
"TMP1","Matthew 6:5","&ldquo;And when you pray, do not be like the hypocrites, for they love to pray standing in the synagogues and on the street corners to be seen by others. Truly I tell you, they have received their reward in full."
"TMP2","Matthew 6:6","But when you pray, go into your room, close the door and pray to your Father, who is unseen. Then your Father, who sees what is done in secret, will reward you."
"TMP3","Matthew 6:7","And when you pray, do not keep on babbling like pagans, for they think they will be heard because of their many words."
"TMP4","Matthew 6:8","Do not be like them, for your Father knows what you need before you ask him."
"TMP5","Matthew 6:9","&ldquo;This, then, is how you should pray: &ldquo;&nbsp;&lsquo;Our Father in heaven, hallowed be your name,"
"TMP6","Matthew 6:10","your kingdom come, your will be done, on earth as it is in heaven."
"TMP7","Matthew 6:11","Give us today our daily bread."
"TMP8","Matthew 6:12","And forgive us our debts, as we also have forgiven our debtors."
"TMP9","Matthew 6:13","And lead us not into temptation, but deliver us from the evil one.  &rsquo;"
"TMP10","Matthew 6:14","For if you forgive other people when they sin against you, your heavenly Father will also forgive you."
"TMP11","Matthew 6:15","But if you do not forgive others their sins, your Father will not forgive your sins."
"TGC1","Mark 12:28","One of the teachers of the law came and heard them debating. Noticing that Jesus had given them a good answer, he asked him, &ldquo;Of all the commandments, which is the most important?&rdquo;"
"TGC2","Mark 12:29"," &ldquo;The most important one,&rdquo; answered Jesus, &ldquo;is this: &lsquo;Hear, O Israel: The Lord our God, the Lord is one."
"TGC3","Mark 12:30","Love the Lord your God with all your heart and with all your soul and with all your mind and with all your strength.&rsquo;"
"TGC4","Mark 12:31","The second is this: &lsquo;Love your neighbor as yourself.&rsquo; There is no commandment greater than these.&rdquo;"
"TGC5","Mark 12:32","&ldquo;Well said, teacher,&rdquo; the man replied. &ldquo;You are right in saying that God is one and there is no other but him."
"TGC6","Mark 12:33","To love him with all your heart, with all your understanding and with all your strength, and to love your neighbor as yourself is more important than all burnt offerings and sacrifices.&rdquo;"
"TGC7","Mark 12:34","When Jesus saw that he had answered wisely, he said to him, &ldquo;You are not far from the kingdom of God.&rdquo; And from then on no one dared ask him any more questions."
"BOJ1","Luke 2:1","In those days Caesar Augustus issued a decree that a census should be taken of the entire Roman world."
"BOJ2","Luke 2:2","(This was the first census that took place while Quirinius was governor of Syria.)"
"BOJ3","Luke 2:3","And everyone went to their own town to register."
"BOJ4","Luke 2:4","So Joseph also went up from the town of Nazareth in Galilee to Judea, to Bethlehem the town of David, because he belonged to the house and line of David."
"BOJ5","Luke 2:5","He went there to register with Mary, who was pledged to be married to him and was expecting a child."
"BOJ6","Luke 2:6","While they were there, the time came for the baby to be born,"
"BOJ7","Luke 2:7","and she gave birth to her firstborn, a son. She wrapped him in cloths and placed him in a manger, because there was no guest room available for them."
"TPOTPS1","Luke 15:11","Jesus continued: &ldquo;There was a man who had two sons."
"TPOTPS2","Luke 15:12","The younger one said to his father, &lsquo;Father, give me my share of the estate.&rsquo; So he divided his property between them."
"TPOTPS3","Luke 15:13"," &ldquo;Not long after that, the younger son got together all he had, set off for a distant country and there squandered his wealth in wild living."
"TPOTPS4","Luke 15:14","After he had spent everything, there was a severe famine in that whole country, and he began to be in need."
"TPOTPS5","Luke 15:15","So he went and hired himself out to a citizen of that country, who sent him to his fields to feed pigs."
"TPOTPS6","Luke 15:16","He longed to fill his stomach with the pods that the pigs were eating, but no one gave him anything."
"TPOTPS7","Luke 15:17"," &ldquo;When he came to his senses, he said, &lsquo;How many of my father&rsquo;s hired servants have food to spare, and here I am starving to death!"
"TPOTPS8","Luke 15:18","I will set out and go back to my father and say to him: Father, I have sinned against heaven and against you."
"TPOTPS9","Luke 15:19","I am no longer worthy to be called your son; make me like one of your hired servants.&rsquo;"
"TPOTPS10","Luke 15:20","So he got up and went to his father.  &ldquo;But while he was still a long way off, his father saw him and was filled with compassion for him; he ran to his son, threw his arms around him and kissed him."
"TPOTPS11","Luke 15:21"," &ldquo;The son said to him, &lsquo;Father, I have sinned against heaven and against you. I am no longer worthy to be called your son.&rsquo;"
"TPOTPS12","Luke 15:22"," &ldquo;But the father said to his servants, &lsquo;Quick! Bring the best robe and put it on him. Put a ring on his finger and sandals on his feet."
"TPOTPS13","Luke 15:23","Bring the fattened calf and kill it. Let&rsquo;s have a feast and celebrate."
"TPOTPS14","Luke 15:24","For this son of mine was dead and is alive again; he was lost and is found.&rsquo; So they began to celebrate."
"TPOTPS15","Luke 15:25"," &ldquo;Meanwhile, the older son was in the field. When he came near the house, he heard music and dancing."
"TPOTPS16","Luke 15:26","So he called one of the servants and asked him what was going on."
