TTC1,Exodus 20:3,Thou shalt have no other gods before me. 
TTOJ1,Matthew 4:1,Then was Jesus led up of the Spirit into the wilderness to be tempted of the devil. 
TTOJ2,Matthew 4:2,"And when he had fasted forty days and forty nights, he was afterward an hungred. "
TTOJ3,Matthew 4:3,"And when the tempter came to him, he said, If thou be the Son of God, command that these stones be made bread. "
TTOJ4,Matthew 4:4,"But he answered and said, It is written, Man shall not live by bread alone, but by every word that proceedeth out of the mouth of God. "
TTOJ5,Matthew 4:5,"Then the devil taketh him up into the holy city, and setteth him on a pinnacle of the temple, "
TTOJ6,Matthew 4:6,"And saith unto him, If thou be the Son of God, cast thyself down: for it is written, He shall give his angels charge concerning thee: and in [their] hands they shall bear thee up, lest at any time thou dash thy foot against a stone. "
TTOJ7,Matthew 4:7,"Jesus said unto him, It is written again, Thou shalt not tempt the Lord thy God. "
TTOJ8,Matthew 4:8,"Again, the devil taketh him up into an exceeding high mountain, and sheweth him all the kingdoms of the world, and the glory of them; "
TTOJ9,Matthew 4:9,"And saith unto him, All these things will I give thee, if thou wilt fall down and worship me. "
TTOJ10,Matthew 4:10,"Then saith Jesus unto him, Get thee hence, Satan: for it is written, Thou shalt worship the Lord thy God, and him only shalt thou serve. "
TTOJ11,Matthew 4:11,"Then the devil leaveth him, and, behold, angels came and ministered unto him. "
TSOM1,Matthew 5:1,"And seeing the multitudes, he went up into a mountain: and when he was set, his disciples came unto him: "
TSOM2,Matthew 5:2,"And he opened his mouth, and taught them, saying, "
TSOM3,Matthew 5:3,Blessed [are] the poor in spirit: for theirs is the kingdom of heaven. 
TSOM4,Matthew 5:4,Blessed [are] they that mourn: for they shall be comforted. 
TSOM5,Matthew 5:5,Blessed [are] the meek: for they shall inherit the earth. 
TSOM6,Matthew 5:6,Blessed [are] they which do hunger and thirst after righteousness: for they shall be filled. 
TSOM7,Matthew 5:7,Blessed [are] the merciful: for they shall obtain mercy. 
TSOM8,Matthew 5:8,Blessed [are] the pure in heart: for they shall see God. 
TSOM9,Matthew 5:9,Blessed [are] the peacemakers: for they shall be called the children of God. 
TSOM10,Matthew 5:10,Blessed [are] they which are persecuted for righteousness sake: for theirs is the kingdom of heaven. 
TSOM11,Matthew 5:11,"Blessed are ye, when [men] shall revile you, and persecute [you,] and shall say all manner of evil against you falsely, for my sake. "
TSOM12,Matthew 5:12,"Rejoice, and be exceeding glad: for great [is] your reward in heaven: for so persecuted they the prophets which were before you. "
TSOM13,Matthew 5:13,"Ye are the salt of the earth: but if the salt have lost his savour, wherewith shall it be salted? it is thenceforth good for nothing, but to be cast out, and to be trodden under foot of men. "
TSOM14,Matthew 5:14,Ye are the light of the world. A city that is set on an hill cannot be hid. 
TSOM15,Matthew 5:15,"Neither do men light a candle, and put it under a bushel, but on a candlestick; and it giveth light unto all that are in the house. "
TSOM16,Matthew 5:16,"Let your light so shine before men, that they may see your good works, and glorify your Father which is in heaven. "
TSOM17,Matthew 5:17,"Think not that I am come to destroy the law, or the prophets: I am not come to destroy, but to fulfil. "
TSOM18,Matthew 5:18,"For verily I say unto you, Till heaven and earth pass, one jot or one tittle shall in no wise pass from the law, till all be fulfilled. "
