TTC1,Exodus 20:3,Thou shalt have no other gods before me. 
TC10,John 19:10,"Then saith Pilate unto him, Speakest thou not unto me? knowest thou not that I have power to crucify thee, and have power to release thee? "
TC11,John 19:11,"Jesus answered, Thou couldest have no power [at all] against me, except it were given thee from above: therefore he that delivered me unto thee hath the greater sin. "
TC12,John 19:12,"And from thenceforth Pilate sought to release him: but the Jews cried out, saying, If thou let this man go, thou art not Caesar's friend: whosoever maketh himself a king speaketh against Caesar. "
TC13,John 19:13,"When Pilate therefore heard that saying, he brought Jesus forth, and sat down in the judgment seat in a place that is called the Pavement, but in the Hebrew, Gabbatha. "
TC14,John 19:14,"And it was the preparation of the passover, and about the sixth hour: and he saith unto the Jews, Behold your King! "
TC15,John 19:15,"But they cried out, Away with [him,] away with [him,] crucify him. Pilate saith unto them, Shall I crucify your King? The chief priests answered, We have no king but Caesar. "
TC16,John 19:16,"Then delivered he him therefore unto them to be crucified. And they took Jesus, and led [him] away. "
TC17,John 19:17,"And he bearing his cross went forth into a place called [the place] of a skull, which is called in the Hebrew Golgotha: "
TC18,John 19:18,"Where they crucified him, and two others with him, on either side one, and Jesus in the midst. "
TC19,John 19:19,"And Pilate wrote a title, and put [it] on the cross. And the writing was, JESUS OF NAZARETH THE KING OF THE JEWS. "
