"The Creation","Genesis 1:1 - 2:3","TC",33
"The Israelites Leave Egypt","Exodus 12:37-42","TILE",6
"A Prayer for Forgiveness","Psalm 51","APFF",19
"The Baptism of Jesus","Matthew 3:13-17","TBOJ",5
"The Model Prayer","Matthew 6:5-15","TMP",11
"The Great Commandments","Mark 12:28-34","TGC",7
"The Birth of Jesus","Luke 2:1-7","BOJ",7
"The Parable of the Prodigal Son","Luke 15:11-32","TPOTPS",22
"The Comfort Chapter","John 14","TCC",31
"The Christian's Armor","Ephesians 6:10-20","TCA",11
