"TBOJ1","Matthew 3:13","Then Jesus came from Galilee to John at the Jordan, to be baptized by him. "
"TBOJ2","Matthew 3:14","But John tried to stop Him, saying, &quot;I need to be baptized by You, and yet You come to me?&quot; "
"TBOJ3","Matthew 3:15","Jesus answered him, &quot;Allow it for now, because this is the way for us to fulfill all righteousness.&quot; Then he allowed Him [to be baptized]. "
"TBOJ4","Matthew 3:16","After Jesus was baptized, He went up immediately from the water. The heavens suddenly opened for Him, and He saw the Spirit of God descending like a dove and coming down on Him. "
"TBOJ5","Matthew 3:17","And there came a voice from heaven: This is My beloved Son. I take delight in Him!"
"TMP1","Matthew 6:5","&quot;Whenever you pray, you must not be like the hypocrites, because they love to pray standing in the synagogues and on the street corners to be seen by people. I assure you: They've got their reward! "
"TMP2","Matthew 6:6","But when you pray, go into your private room, shut your door, and pray to your Father who is in secret. And your Father who sees in secret will reward you. "
"TMP3","Matthew 6:7","When you pray, don't babble like the idolaters, since they imagine they'll be heard for their many words. "
"TMP4","Matthew 6:8","Don't be like them, because your Father knows the things you need before you ask Him.  "
"TMP5","Matthew 6:9","&quot;Therefore, you should pray like this: Our Father in heaven, Your name be honored as holy. "
"TMP6","Matthew 6:10","Your kingdom come. Your will be done on earth as it is in heaven. "
"TMP7","Matthew 6:11","Give us today our daily bread. "
"TMP8","Matthew 6:12","And forgive us our debts, as we also have forgiven our debtors. "
"TMP9","Matthew 6:13","And do not bring us into temptation, but deliver us from the evil one. [For Yours is the kingdom and the power and the glory forever. Amen.] "
"TMP10","Matthew 6:14","&quot;For if you forgive people their wrongdoing, your heavenly Father will forgive you as well. "
"TMP11","Matthew 6:15","But if you don't forgive people, your Father will not forgive your wrongdoing."
"TGC1","Mark 12:28","One of the scribes approached. When he heard them debating and saw that Jesus answered them well, he asked Him, &quot;Which commandment is the most important of all?&quot; "
"TGC2","Mark 12:29","&quot;This is the most important,&quot; Jesus answered: Listen, Israel! The Lord our God, the Lord is One. "
"TGC3","Mark 12:30","Love the Lord your God with all your heart, with all your soul, with all your mind, and with all your strength. "
"TGC4","Mark 12:31","&quot;The second is: Love your neighbor as yourself. There is no other commandment greater than these.&quot; "
"TGC5","Mark 12:32","Then the scribe said to Him, &quot;You are right, Teacher! You have correctly said that He is One, and there is no one else except Him. "
"TGC6","Mark 12:33","And to love Him with all your heart, with all your understanding, and with all your strength, and to love your neighbor as yourself, is far more [important] than all the burnt offerings and sacrifices.&quot; "
"TGC7","Mark 12:34","When Jesus saw that he answered intelligently, He said to him, &quot;You are not far from the kingdom of God.&quot; And no one dared to question Him any longer."
"BOJ1","Luke 2:1","In those days a decree went out from Caesar Augustus 14; also known as Octavian, he established the peaceful era known as the Pax Romana; Caesar was a title of Roman emperors. that the whole empire should be registered. "
"BOJ2","Luke 2:2","This first registration took place while Quirinius was governing Syria. "
"BOJ3","Luke 2:3","So everyone went to be registered, each to his own town. "
"BOJ4","Luke 2:4","And Joseph also went up from the town of Nazareth in Galilee, to Judea, to the city of David, which is called Bethlehem, because he was of the house and family line of David, "
"BOJ5","Luke 2:5","to be registered along with Mary, who was engaged to him and was pregnant. "
"BOJ6","Luke 2:6","While they were there, the time came for her to give birth. "
"BOJ7","Luke 2:7","Then she gave birth to her firstborn Son, and she wrapped Him snugly in cloth and laid Him in a feeding trough-because there was no room for them at the inn."
"TPOTPS1","Luke 15:11","He also said: &quot;A man had two sons. "
"TPOTPS2","Luke 15:12","The younger of them said to his father, 'Father, give me the share of the estate I have coming to me.' So he distributed the assets to them. "
"TPOTPS3","Luke 15:13","Not many days later, the younger son gathered together all he had and traveled to a distant country, where he squandered his estate in foolish living. "
"TPOTPS4","Luke 15:14","After he had spent everything, a severe famine struck that country, and he had nothing. "
"TPOTPS5","Luke 15:15","Then he went to work for one of the citizens of that country, who sent him into his fields to feed pigs. "
"TPOTPS6","Luke 15:16","He longed to eat his fill from the carob pods the pigs were eating, but no one would give him any. "
"TPOTPS7","Luke 15:17","When he came to his senses, he said, 'How many of my father's hired hands have more than enough food, and here I am dying of hunger! "
"TPOTPS8","Luke 15:18","I'll get up, go to my father, and say to him, Father, I have sinned against heaven and in your sight. "
"TPOTPS9","Luke 15:19","I'm no longer worthy to be called your son. Make me like one of your hired hands.' "
"TPOTPS10","Luke 15:20","So he got up and went to his father. But while the son was still a long way off, his father saw him and was filled with compassion. He ran, threw his arms around his neck, and kissed him. "
"TPOTPS11","Luke 15:21","The son said to him, 'Father, I have sinned against heaven and in your sight. I'm no longer worthy to be called your son.' "
"TPOTPS12","Luke 15:22","&quot;But the father told his slaves, 'Quick! Bring out the best robe and put it on him; put a ring on his finger and sandals on his feet. "
"TPOTPS13","Luke 15:23","Then bring the fattened calf and slaughter it, and let's celebrate with a feast, "
"TPOTPS14","Luke 15:24","because this son of mine was dead and is alive again; he was lost and is found!' So they began to celebrate. "
"TPOTPS15","Luke 15:25","&quot;Now his older son was in the field; as he came near the house, he heard music and dancing. "
"TPOTPS16","Luke 15:26","So he summoned one of the servants and asked what these things meant. "
"TPOTPS17","Luke 15:27","'Your brother is here,' he told him, 'and your father has slaughtered the fattened calf because he has him back safe and sound.' "
"TPOTPS18","Luke 15:28","&quot;Then he became angry and didn't want to go in. So his father came out and pleaded with him. "
"TPOTPS19","Luke 15:29","But he replied to his father, 'Look, I have been slaving many years for you, and I have never disobeyed your orders, yet you never gave me a young goat so I could celebrate with my friends. "
"TPOTPS20","Luke 15:30","But when this son of yours came, who has devoured your assets with prostitutes, you slaughtered the fattened calf for him.' "
"TPOTPS21","Luke 15:31","&quot; 'Son,' he said to him, 'you are always with me, and everything I have is yours. "
"TPOTPS22","Luke 15:32","But we had to celebrate and rejoice, because this brother of yours was dead and is alive again; he was lost and is found.' &quot;"
"TCC1","John 14:1","&quot;Your heart must not be troubled. Believe in God; believe also in Me. "
"TCC2","John 14:2","In My Father's house are many dwelling places; if not, I would have told you. I am going away to prepare a place for you. "
"TCC3","John 14:3","If I go away and prepare a place for you, I will come back and receive you to Myself, so that where I am you may be also. "
"TCC4","John 14:4","You know the way where I am going.&quot; "
"TCC5","John 14:5","&quot;Lord,&quot; Thomas said, &quot;we don't know where You're going. How can we know the way?&quot; "
"TCC6","John 14:6","Jesus told him, &quot;I am the way, the truth, and the life. No one comes to the Father except through Me.  "
"TCC7","John 14:7","&quot;If you know Me, you will also know My Father. From now on you do know Him and have seen Him.&quot; "
"TCC8","John 14:8","&quot;Lord,&quot; said Philip, &quot;show us the Father, and that's enough for us.&quot; "
"TCC9","John 14:9","Jesus said to him, &quot;Have I been among you all this time without your knowing Me, Philip? The one who has seen Me has seen the Father. How can you say, 'Show us the Father'? "
"TCC10","John 14:10","Don't you believe that I am in the Father and the Father is in Me? The words I speak to you I do not speak on My own. The Father who lives in Me does His works. "
"TCC11","John 14:11","Believe Me that I am in the Father and the Father is in Me. Otherwise, believe because of the works themselves.  "
